,address,code_district,code_suburb,dock_bikes,free_bases,id,light,name,no_available,number,reservations_count,total_bases,date_time,longitude,latitude,coordinates
33,"Calle norte nº 8,",01,015,4,15,1419,0,15 - Norte,0,15,0,19,2024-02-12 18:13:43,-3.7074453,40.4262383,"(-3.7074453, 40.4262383)"
34,"Calle San Bernardo nº 22,",01,015,0,19,1420,0,16 - San Bernardo,0,16,0,19,2024-02-12 18:13:43,-3.7074808485065,40.4229374,"(-3.7074808485065, 40.4229374)"
35,"Plaza de Carlos Cambronero nº 2,",01,015,4,19,1421,0,17 - Carlos Cambronero,0,17,0,23,2024-02-12 18:13:43,-3.704166,40.423126,"(-3.704166, 40.423126)"
36,"Plaza de Pedro Zerolo nº 1,",01,014,4,20,1422,0,18 - Plaza de Pedro Zerolo,0,18,0,24,2024-02-12 18:13:43,-3.6996776,40.4209251,"(-3.6996776, 40.4209251)"
37,"Calle Prim nº 2,",01,014,18,10,1423,2,"19 - Calle Prim, 2",0,19,0,28,2024-02-12 18:13:43,-3.6954983,40.4218616,"(-3.6954983, 40.4218616)"
38,"Calle Alcalá nº 49,",01,013,19,8,1424,1,20a - Banco de España A,0,20a,0,27,2024-02-12 18:13:43,-3.6952465,40.4188076,"(-3.6952465, 40.4188076)"
39,"Calle Jacometrezo nº 3,",01,016,0,0,1425,3,22 - Jacometrezo,1,22,0,3,2024-02-12 18:13:43,-3.7065376,40.4200783,"(-3.7065376, 40.4200783)"
40,"Plaza de Santo Domingo nº 1,",01,011,2,22,1426,0,23 - Santo Domingo,0,23,0,24,2024-02-12 18:13:43,-3.708249,40.4202595,"(-3.708249, 40.4202595)"
41,"Calle Carlos III nº 1,",01,011,7,11,1427,2,24 - Palacio de Oriente,0,24,0,18,2024-02-12 18:13:43,-3.7106495,40.417767,"(-3.7106495, 40.417767)"
42,"Plaza de Celenque nº 1,",01,016,21,3,1428,1,25a - Plaza de Celenque A,0,25a,0,24,2024-02-12 18:13:43,-3.7057791,40.4173703,"(-3.7057791, 40.4173703)"
43,"Plaza de Celenque nº 1,",01,016,15,9,1429,2,25b - Plaza de Celenque B,0,25b,0,24,2024-02-12 18:13:43,-3.7058976,40.4173687,"(-3.7058976, 40.4173687)"
44,"Plaza de las Salesas 7,",01,014,16,11,1430,2,26 - Plaza de las Salesas,0,26,0,27,2024-02-12 18:13:43,-3.6945,40.4239,"(-3.6945, 40.4239)"
45,"Calle Jesús nº 1,",01,013,12,14,1431,2,27 - Huertas,0,27,0,27,2024-02-12 18:13:43,-3.6957,40.4133,"(-3.6957, 40.4133)"
46,"Calle Alcalá nº 27,",01,013,3,15,1432,0,28 - Sevilla,0,28,0,18,2024-02-12 18:13:43,-3.6984583,40.41806,"(-3.6984583, 40.41806)"
47,"Calle del Marqués de Cubas nº 25,",01,013,12,11,1433,2,29 - Marqués de Cubas,0,29,0,23,2024-02-12 18:13:43,-3.6957434,40.4163838,"(-3.6957434, 40.4163838)"
48,"Calle Pavía nº 6,",01,011,11,16,1434,2,30 - San Quintín,0,30,0,27,2024-02-12 18:13:43,-3.711504,40.4192095,"(-3.711504, 40.4192095)"
49,"Calle Mayor nº 20,",01,016,16,11,1435,2,31 - Calle Mayor,0,31,0,27,2024-02-12 18:13:43,-3.7068969,40.4163638,"(-3.7068969, 40.4163638)"
50,"Plaza de la Provincia nº 1,",01,016,7,11,1436,2,32 - Plaza de la Provincia,0,32,0,18,2024-02-12 18:13:43,-3.7061032,40.4150099,"(-3.7061032, 40.4150099)"
51,"Calle Carretas nº 8,",01,016,7,16,1437,0,33 - Carretas,0,33,0,23,2024-02-12 18:13:43,-3.7033305,40.4165873,"(-3.7033305, 40.4165873)"
52,"Plaza de Jacinto Benavente,",01,016,13,11,1438,2,34 - Jacinto Benavente,0,34,0,24,2024-02-12 18:13:43,-3.7036825,40.4146755,"(-3.7036825, 40.4146755)"
53,"Plaza del Cordón,",01,011,21,3,1439,1,35 - Plaza del Cordón,0,35,0,24,2024-02-12 18:13:43,-3.7103285,40.4141931,"(-3.7103285, 40.4141931)"
