,dock_bikes,free_bases,id,light,no_available,reservations_count,last_updated
174,0,23,2170,0,0,0,2024-02-21 00:48:56
175,9,18,2171,2,0,0,2024-02-21 00:48:56
176,15,12,2172,2,0,0,2024-02-21 00:48:56
177,12,11,2173,2,0,0,2024-02-21 00:48:56
178,9,14,2174,2,0,0,2024-02-21 00:48:56
179,3,24,2175,0,0,0,2024-02-21 00:48:56
180,24,3,2176,1,0,0,2024-02-21 00:48:56
181,6,17,2177,0,0,0,2024-02-21 00:48:56
182,17,2,2178,1,0,0,2024-02-21 00:48:56
183,13,14,2179,2,0,0,2024-02-21 00:48:56
184,5,19,2180,0,0,0,2024-02-21 00:48:56
185,15,9,2182,2,0,0,2024-02-21 00:48:56
186,11,13,2183,2,0,0,2024-02-21 00:48:56
187,6,17,2184,0,0,0,2024-02-21 00:48:56
188,18,5,2185,1,0,0,2024-02-21 00:48:56
189,22,5,2186,1,0,0,2024-02-21 00:48:56
190,13,14,2187,2,0,0,2024-02-21 00:48:56
191,14,13,2188,2,0,0,2024-02-21 00:48:56
192,3,20,2189,0,0,0,2024-02-21 00:48:56
193,13,14,2190,2,0,0,2024-02-21 00:48:56
194,6,21,2191,0,0,0,2024-02-21 00:48:56
195,13,10,2205,2,0,0,2024-02-21 00:48:56
196,23,0,2207,1,0,0,2024-02-21 00:48:56
197,8,15,2214,2,0,0,2024-02-21 00:48:56
198,2,21,2224,0,0,0,2024-02-21 00:48:56
199,1,22,2225,0,0,0,2024-02-21 00:48:56
200,8,16,2226,2,0,0,2024-02-21 00:48:56
201,14,9,2233,2,0,0,2024-02-21 00:48:56
202,13,10,2234,2,0,0,2024-02-21 00:48:56
203,19,4,2235,1,0,0,2024-02-21 00:48:56
204,8,15,2236,2,0,0,2024-02-21 00:48:56
205,23,0,2237,1,0,0,2024-02-21 00:48:56
206,9,14,2238,2,0,0,2024-02-21 00:48:56
207,27,0,2239,1,0,0,2024-02-21 00:48:56
208,19,4,2240,1,0,0,2024-02-21 00:48:56
209,2,25,2241,0,0,0,2024-02-21 00:48:56
210,12,10,2243,2,0,0,2024-02-21 00:48:56
211,17,10,2244,2,0,0,2024-02-21 00:48:56
212,9,14,2245,2,0,0,2024-02-21 00:48:56
213,11,12,2246,2,0,0,2024-02-21 00:48:56
214,21,2,2247,1,0,0,2024-02-21 00:48:56
215,14,9,2248,2,0,0,2024-02-21 00:48:56
216,22,1,2249,1,0,0,2024-02-21 00:48:56
217,20,3,2250,1,0,0,2024-02-21 00:48:56
218,13,10,2251,2,0,0,2024-02-21 00:48:56
219,16,8,2252,2,0,0,2024-02-21 00:48:56
220,3,21,2254,0,0,0,2024-02-21 00:48:56
221,19,5,2255,1,0,0,2024-02-21 00:48:56
222,1,23,2256,0,0,0,2024-02-21 00:48:56
223,9,15,2257,2,0,0,2024-02-21 00:48:56
224,6,18,2258,0,0,0,2024-02-21 00:48:56
225,14,10,2259,2,0,0,2024-02-21 00:48:56
226,13,11,2260,2,0,0,2024-02-21 00:48:56
227,9,15,2261,2,0,0,2024-02-21 00:48:56
228,15,9,2262,2,0,0,2024-02-21 00:48:56
229,6,12,2263,2,0,0,2024-02-21 00:48:56
230,15,3,2264,1,0,0,2024-02-21 00:48:56
231,21,3,2265,1,0,0,2024-02-21 00:48:56
232,19,4,2266,1,0,0,2024-02-21 00:48:56
233,13,10,2267,2,0,0,2024-02-21 00:48:56
234,21,2,2268,1,0,0,2024-02-21 00:48:56
