,address,code_district,code_suburb,id,number,total_bases,last_updated,longitude,latitude,coordinates
192,"Paseo de la castellana, 124 ,",05,051,2224,150,23,2024-03-15 08:58:01,-3.6908,40.4491,"(-3.6908, 40.4491)"
193,"Paseo de la Castellana, 164 ,Comunidad de Madrid España",05,055,2225,157,23,2024-03-15 08:58:01,-3.6894151,40.4591366,"(-3.6894151, 40.4591366)"
194,"Calle Guetaria, 84B,",12,121,2226,395,24,2024-03-15 08:58:01,-3.71569102,40.36916772,"(-3.71569102, 40.36916772)"
195,"Calle Eduardo Mazón, 1 ,",16,161,2233,548,23,2024-03-15 08:58:01,-3.6154157,40.4521484,"(-3.6154157, 40.4521484)"
196,"Calle Santa Rita, 1 ,",05,052,2234,293,23,2024-03-15 08:58:01,-3.6682882,40.4457928,"(-3.6682882, 40.4457928)"
197,"Av/ de Niza, 67 ,",20,205,2235,520,23,2024-03-15 08:58:01,-3.60811578,40.4342806,"(-3.60811578, 40.4342806)"
198,"Amposta s/n (esquina Arcos de Jalón),",20,204,2236,509,23,2024-03-15 08:58:01,-3.61865045,40.42218951,"(-3.61865045, 40.42218951)"
199,"CalleBahía de Cádiz (cruce con Avenida Logroño) ,",21,215,2237,558,23,2024-03-15 08:58:01,-3.593712,40.461137,"(-3.593712, 40.461137)"
200,"Calle Cristo del Gran Poder (cruce con calle Alas) ,",21,214,2238,561,23,2024-03-15 08:58:01,-3.585751,40.472048,"(-3.585751, 40.472048)"
201,"Calle Tomillar, 18 ,",21,211,2239,562,27,2024-03-15 08:58:01,-3.5844146,40.4630993,"(-3.5844146, 40.4630993)"
202,"Calle playa de Zarauz (esquina con Playa de Caleta) ,",21,214,2240,560,23,2024-03-15 08:58:01,-3.5906847,40.4731404,"(-3.5906847, 40.4731404)"
203,"Avenida del Partenón, 6 ,",21,215,2241,568,27,2024-03-15 08:58:01,-3.6178336,40.4632802,"(-3.6178336, 40.4632802)"
204,"Paseo Alberto Palacios, 42,",17,171,2243,405,23,2024-03-15 08:58:01,-3.7129039644180373,40.3449259916087,"(-3.7129039644180373, 40.3449259916087)"
205,"Calle Eduardo Maristany, 7,",17,173,2244,401,27,2024-03-15 08:58:01,-3.683127,40.353285,"(-3.683127, 40.353285)"
206,"Calle Cifuentes, 5,",17,175,2245,406,23,2024-03-15 08:58:01,-3.6960817,40.3486,"(-3.6960817, 40.3486)"
207,"Calle Auñón, 16,",17,173,2246,403,23,2024-03-15 08:58:01,-3.6775242,40.3504944,"(-3.6775242, 40.3504944)"
208,"Paseo de los Melancólicos, 73 ,",02,021,2247,280,23,2024-03-15 08:58:01,-3.718569,40.401782,"(-3.718569, 40.401782)"
209,"Calle Albox, 35 ,",11,115,2248,367,23,2024-03-15 08:58:01,-3.73984,40.373972,"(-3.73984, 40.373972)"
210,"Paseo de los Jesuitas, 4 ,",10,102,2249,325,23,2024-03-15 08:58:01,-3.7305543,40.4106918,"(-3.7305543, 40.4106918)"
211,"Calle Sierra de Atapuerca, 19,",08,086,2250,578,23,2024-03-15 08:58:01,-3.67042488,40.50292982,"(-3.67042488, 40.50292982)"
212,"Calle Puerto de Porzuna, 34,",18,181,2251,446,23,2024-03-15 08:58:01,-3.6236297,40.373826,"(-3.6236297, 40.373826)"
213,"Parque Eugenia de Montijo, 2,",11,114,2252,382,24,2024-03-15 08:58:01,-3.7545822,40.3783501,"(-3.7545822, 40.3783501)"
214,"Calle transversal sexta (enfrente del colegio Villamadrid),",17,171,2254,410,24,2024-03-15 08:58:01,-3.6992665,40.3325463,"(-3.6992665, 40.3325463)"
215,"Calle Valdesangil, 34 ,",09,094,2255,319,24,2024-03-15 08:58:01,-3.7166729,40.4684218,"(-3.7166729, 40.4684218)"
216,"Calle María Tubau, 3 ,",08,086,2256,579,24,2024-03-15 08:58:01,-3.6717035870335635,40.51399230680476,"(-3.6717035870335635, 40.51399230680476)"
217,"Calle del Monasterio de Sobrado, nº6,",08,088,2257,602,24,2024-03-15 08:58:01,-3.692837,40.5093225,"(-3.692837, 40.5093225)"
218,"Calle Ubeda esquina Plaza Virgen de la capilla ,",08,083,2258,600,24,2024-03-15 08:58:01,-3.7149566,40.4825507,"(-3.7149566, 40.4825507)"
219,"Avenida de Logroño, 112 ,",21,214,2259,566,24,2024-03-15 08:58:01,-3.5815033,40.4703472,"(-3.5815033, 40.4703472)"
220,"Calle Playa de Riazor, 65 ,",21,214,2260,565,24,2024-03-15 08:58:01,-3.5838869,40.47563573,"(-3.5838869, 40.47563573)"
221,"467 -  Calle Villardondiego  nº32,",19,191,2261,467,24,2024-03-15 08:58:01,-3.6084888,40.4062361,"(-3.6084888, 40.4062361)"
222,"469 - Ladera de los Almendros, 6,",19,192,2262,469,24,2024-03-15 08:58:01,-3.62299,40.40343,"(-3.62299, 40.40343)"
223,"Avenida Real, 3,",19,191,2263,470,18,2024-03-15 08:58:01,-3.6063672,40.4021519,"(-3.6063672, 40.4021519)"
224,"Calle Molino Viejo frente , 14,",19,193,2264,471,18,2024-03-15 08:58:01,-3.60666,40.396301,"(-3.60666, 40.396301)"
225,"Calle Amaltea, 1 ,",02,025,2265,271,24,2024-03-15 08:58:01,-3.68317,40.394706,"(-3.68317, 40.394706)"
226,"Calle Villablanca 7,",19,191,2266,466,23,2024-03-15 08:58:01,-3.60783265,40.40894698,"(-3.60783265, 40.40894698)"
227,"Paseo Juan Antonio Vallejo-Nájera Botas, 25 ,",02,022,2267,275,23,2024-03-15 08:58:01,-3.7082123,40.4020545,"(-3.7082123, 40.4020545)"
228," Avenida de la Aurora Boreal, 19,",19,193,2268,475,23,2024-03-15 08:58:01,-3.603668,40.399236,"(-3.603668, 40.399236)"
229,"Calle Méndez Álvaro, 73 ,",02,027,2269,274,23,2024-03-15 08:58:01,-3.68134346,40.39675755,"(-3.68134346, 40.39675755)"
230,"Calle Nuria nº24,",08,087,2270,605,24,2024-03-15 08:58:01,-3.704883,40.491644,"(-3.704883, 40.491644)"
231,"Avenida Arcentales (frente Estadio Metropolitano),",20,205,2271,522,24,2024-03-15 08:58:01,-3.60097542,40.43333298,"(-3.60097542, 40.43333298)"
232,"Calle Ginebra (esquina con Suecia),",20,205,2272,521,24,2024-03-15 08:58:01,-3.6048181,40.423893,"(-3.6048181, 40.423893)"
233,"Intercambiador de Canillejas,",20,207,2273,508,24,2024-03-15 08:58:01,-3.609553,40.449095,"(-3.609553, 40.449095)"
234,"Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),",03,035,2274,80A,23,2024-03-15 08:58:01,-3.690538,40.407573,"(-3.690538, 40.407573)"
235,"Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),",03,035,2275,80B,27,2024-03-15 08:58:01,-3.6904748,40.4075211,"(-3.6904748, 40.4075211)"
236,"Calle Adolfo Bioy Casares, 3 ,",18,183,2276,447,27,2024-03-15 08:58:01,-3.5981935,40.3668504,"(-3.5981935, 40.3668504)"
237,"Calle San Jenaro, 1,",17,171,2278,412,24,2024-03-15 08:58:01,-3.7043083,40.3500291,"(-3.7043083, 40.3500291)"
238,"Calle Diamante, 10 ,",17,174,2279,415,24,2024-03-15 08:58:01,-3.6877534,40.3532609,"(-3.6877534, 40.3532609)"
239,"Calle Doctor Martín Arévalo enfrente del N°16 ,",17,171,2280,413,24,2024-03-15 08:58:01,-3.707413,40.345928,"(-3.707413, 40.345928)"
240,"Calle Zapatoca, 8,",16,164,2281,545,23,2024-03-15 08:58:01,-3.63335803,40.47285235,"(-3.63335803, 40.47285235)"
241,"Plaza Mayor de Barajas, 24,",21,213,2282,567,24,2024-03-15 08:58:01,-3.5776537,40.4733252,"(-3.5776537, 40.4733252)"
